"SKU","Price","Date"
1,178.77,"2009-12-29"
2,49.85,"2009-12-29"
2,49.75,"2009-12-29"
2,54.75,"2009-06-23"
1,171.99,"2009-12-29"
2,49.85,"2009-12-29"
3,102.24,"2009-12-29"
3,115.98,"2009-06-23"
2,49.85,"2009-12-29"
1,167.5,"2009-06-23"
2,49.85,"2009-12-29"
2,57.96,"2009-06-23"
2,55.64,"2009-06-23"
1,120.03,"2009-06-23"
2,54.75,"2009-06-23"
2,55.5,"2009-06-23"
2,58,"2009-06-23"
2,54.99,"2009-06-23"
3,109.58,"2009-06-23"
1,162.59,"2009-12-30"
2,49.85,"2009-12-30"
1,158.93,"2009-12-30"
2,49.85,"2009-12-30"
1,159,"2009-12-30"
1,167.5,"2009-06-24"
2,49.85,"2009-12-30"
2,55.5,"2009-06-24"
3,115.98,"2009-06-24"
2,49.75,"2009-12-30"
3,102.24,"2009-12-30"
2,54.99,"2009-06-24"
1,120.03,"2009-06-24"
2,57.96,"2009-06-24"
2,55.64,"2009-06-24"
2,54.75,"2009-06-24"
2,58,"2009-06-24"
2,54.75,"2009-06-24"
3,115.98,"2009-06-25"
3,109.58,"2009-06-24"
2,55.59,"2009-06-25"
1,120.03,"2009-06-25"
2,54.75,"2009-06-25"
2,54.75,"2009-06-25"
2,54.75,"2009-06-25"
2,54.99,"2009-06-25"
1,167.5,"2009-06-25"
2,56.85,"2009-06-25"
1,159,"2009-12-31"
3,109.58,"2009-06-25"
1,162.59,"2009-12-31"
2,49.85,"2009-12-31"
1,158.93,"2009-12-31"
2,55.5,"2009-06-25"
2,49.85,"2009-12-31"
2,49.75,"2009-12-31"
2,49.85,"2009-12-31"
3,102.24,"2009-12-31"
2,55.5,"2009-06-26"
1,167.5,"2009-06-26"
3,109.58,"2009-06-26"
3,115.98,"2009-06-26"
2,55.59,"2009-06-26"
1,120.03,"2009-06-26"
2,54.75,"2009-06-26"
2,54.75,"2009-06-26"
2,54.75,"2009-06-26"
2,54.99,"2009-06-26"
2,56.85,"2009-06-26"
3,109.58,"2009-06-26"
1,159,"2010-01-01"
1,166.42,"2010-01-01"
2,53.14,"2010-01-01"
2,53.14,"2010-01-01"
2,53.14,"2010-01-01"
2,53.15,"2010-01-01"
1,139.3,"2009-06-26"
1,167.5,"2009-06-27"
2,54.99,"2009-06-27"
3,102.24,"2010-01-01"
1,152,"2010-01-01"
3,115.98,"2009-06-27"
2,55.59,"2009-06-27"
1,120.03,"2009-06-27"
2,54.75,"2009-06-27"
2,54.75,"2009-06-27"
2,55.5,"2009-06-27"
3,109.58,"2009-06-27"
2,56.85,"2009-06-27"
